"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"30027";"Wulkaprodersdorf";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10319";"Wulkaprodersdorf";1446;5883;144;1273;676684;26;9021;0;0;310;72583;937;595080;3859;9834312;0;0;0;0;530;776912;0;0;0;0;23;64984;22;63772;1;1212;0;0;0;0;233;872028;213;755956;1;26415;0;0;3;938;16;88719;12224920;34;"r.k. Pfarrkirche 86-77";+12164;+294973;162945;474738;171;19;115;115;0;2816;1500;0;1311;0
"30028";"Zagersdorf";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10323";"Zagersdorf";856;1980;751;401;283267;28;7326;0;0;33;15867;340;260074;1053;4564653;2;23782;2;23782;401;730485;0;0;29;1302652;13;48190;11;25324;2;22866;0;0;0;0;120;344491;113;281029;3;56404;0;0;0;0;4;7058;7297520;34;"r.k. Kirche 34-77";+13514;+291816;163049;474555;179;5;70;70;0;3679;949;18;2650;0
"30029";"Zillingtal";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10322";"Zillingtal";625;1385;739;432;347522;1;120;0;0;95;128358;336;219044;716;11602487;0;0;0;0;0;0;0;0;85;591540;23;122897;20;74468;2;46957;0;0;1;1472;147;437401;137;400646;0;0;0;0;1;589;9;36166;13101847;34;"Pfarrkirche 112-77";+5549;+297160;162427;474849;231;15;91;91;0;3099;562;0;2527;0
"30101";"Antau";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10616";"Antau";821;2593;95;444;258011;32;9507;0;0;84;61810;328;186694;1798;7596641;0;0;0;0;209;376501;0;0;14;31218;19;45181;19;45181;0;0;0;0;0;0;144;443269;110;292858;19;127843;0;0;1;312;14;22256;8750821;34;"r.k. Kirche 52-77";+10831;+292683;162840;474624;187;13;70;70;0;1571;1009;0;541;0
"30102";"Baumgarten";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10617";"Baumgarten";797;2465;0;550;230688;3;2146;0;0;123;49341;424;179201;1539;4627648;2;18903;2;18903;50;69821;0;0;174;1767783;19;12051;19;12051;0;0;0;0;0;0;135;233707;126;224207;0;0;0;0;0;0;9;9500;6960601;34;"r.k. Kirche 371-107";+12741;+288591;163012;474411;264;6;47;47;0;7;7;7;0;0
"30103";"Draßburg";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10601";"Draßburg";1132;3344;0;639;321092;0;0;0;0;151;127591;488;193501;2297;5991393;2;11558;2;11558;104;97131;0;0;141;2855417;10;41091;9;39728;1;1363;0;0;0;0;154;358483;133;242901;18;104890;0;0;0;0;3;10692;9676165;34;"r.k. Kirche 390-107";+11686;+289529;162921;474441;224;10;60;60;0;0;0;0;0;0
"30104";"Forchtenau";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10602";"Forchtenstein";1789;4644;0;802;574767;25;7595;0;0;173;235373;604;331799;2840;5095270;30;17881;30;17881;36;33417;0;0;761;2616029;32;68732;24;41207;8;27525;0;0;0;0;189;341056;178;317303;0;0;2;11394;1;403;8;11956;8747152;34;"Kirche 680-107";+909;+285855;162044;474243;339;12;16;16;0;93;10;0;0;0
"30105";"Hirm";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10603";"Hirm";624;1334;103;401;219534;57;11555;0;0;45;32867;299;175112;889;2656760;1;6598;1;6598;3;3451;0;0;5;34978;11;36144;10;26973;1;9171;0;0;0;0;83;157256;77;150720;5;6151;0;0;1;385;0;0;3114721;34;"r.k. Kirche 76-77";+9187;+294273;162721;474715;181;4;32;32;0;1384;748;0;634;0
"30106";"Krensdorf";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10614";"Sigleß";701;2064;0;344;199095;2;504;0;0;50;24421;292;174170;1418;6609256;1;10972;1;10972;135;161338;0;0;30;419566;20;32507;19;31248;1;1259;0;0;0;0;119;354488;115;348440;0;0;0;0;0;0;4;6048;7787222;34;"r.k. Pfarrkirche 68-77";+6277;+293888;162502;474703;204;6;42;42;0;0;0;0;0;0
"30107";"Loipersbach";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10604";"Loipersbach im Burgenland";1449;6433;0;651;246225;7;1888;0;0;173;56986;471;187351;4910;6334792;1;555;0;0;456;276146;0;0;197;1222089;34;31226;33;27981;1;3245;0;0;0;0;195;433929;159;300827;9;116036;0;0;0;0;27;17066;8544962;34;"evang. Kirche 297-107";+10637;+284003;162830;474143;292;17;39;39;0;0;0;0;0;0
