"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"19301";570;12;5313;240;4;7;;;2213;1701;317;;;148;25132;12;3385;165;372247;;;51;57976;228;137839;;;18;289770;177;2178803;;;;;9;15800;4;935;;;;;95;64209;;;;;2;12648;;;4;16631;1;7185;2;6600;;;;;;;;;;;;;;;3189160
"19302";588;11;75513;211;16;12;;;3112;2605;146;;;232;35627;19;4351;244;1279056;;;31;189403;167;107947;;;11;910651;174;18615710;;;;;5;25470;7;8295;;;;;107;403880;3;13207;4;16624;;;3;8419;3;7201;;;2;1558;;;1;25777;;;;;;;1;768;;;21653176
"19303";506;31;1032595;103;5;19;;;1639;872;712;;;146;19609;14;3588;280;1503285;;;41;133155;93;47169;;;3;598464;192;4502111;;;;;9;20993;1;483;;;;;109;114625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6943482
"19304";418;14;44584;209;;15;;;1459;1073;193;;;222;37806;47;6290;6;14243;;;1;1429;247;141380;;;;;56;483531;;;;;2;2591;1;343;1;713;;;33;32792;;;;;;;1;2188;;;6;24986;;;;;;;;;;;;;;;;;748292
"19305";352;3;2001;32;8;2;;;500;455;35;;;60;11661;4;697;204;1896205;;;33;33130;12;11403;;;21;991673;222;14049544;;;;;1;14829;2;271;;;;;115;174458;;;;;;;17;8726;1;5036;;;;;;;2;90354;;;;;;;;;;;17287987
"19306";167;;;6;2;;;;9;9;;;;13;2815;1;202;114;853560;;;24;25779;;;;;;;92;1214982;;;;;;;;;;;;;42;12373;;;;;;;4;1179;1;686;;;;;;;;;;;;;;;;;;;2111576
"19307";1066;199;292692;539;6;25;;;6924;5304;1374;;;421;117996;35;7020;419;7052824;;;5;5084;385;270477;;;;;242;5988861;;;17;24205;15;158905;3;1911;9;30452;;;193;330034;9;18411;3;2080;;;64;162621;1;21148;3;3903;5;5214;;;;;;;;;;;;;;;14201146
"19308";441;3;8105;89;3;10;;;1627;1191;39;;;107;18877;6;1503;155;462504;;;19;32854;90;75690;;;1;1680;182;7819578;;;;;21;103821;3;718;;;;;76;131237;2;1699;;;6;92357;9;22982;;;13;24085;;;;;;;;;;;;;;;;;8789585
"19309";876;27;102571;189;12;14;;;3547;3217;236;;;224;58066;23;10167;459;2029454;2;7407;40;61811;148;124902;;;16;649595;289;22653097;;;;;28;116413;12;6968;;;;;164;194799;;;1;2733;3;79477;43;140042;2;20751;6;18633;;;;;;;;;;;;;;;;;26174315
"19310";1000;18;31985;205;49;42;;;5413;2834;203;;;262;35950;5;548;472;2534455;;;141;578652;88;73738;;;14;1296171;322;97462519;;;;;55;376821;13;6871;;;;;238;1242625;;;2;3702;;;9;7655;6;26356;;;1;617;;;10;1741603;;;;;;;;;;;105388283
"19311";1794;34;49056;550;26;37;;;5455;4552;317;;;691;105669;75;25458;553;2241446;1;4792;32;55854;635;448603;;;18;431586;557;26475747;;;;;71;109326;6;9230;;;;;326;525806;;;1;1401;6;78831;21;32588;11;10655;13;21829;1;6135;;;;;;;;;;;;;;;30584956
"19312";392;8;5784;115;8;10;;;2534;2248;64;;;124;20130;5;313;143;1532298;;;35;63451;109;75607;;;1;30560;124;7841617;;;15;80976;6;37300;10;86372;;;;;67;108025;14;146649;2;7140;7;9892;9;11896;5;41108;;;1;673;;;3;190450;;;;;;;;;;;10284457
"19313";218;1;1637;22;1;4;;;435;358;18;;;43;10365;6;1300;123;848295;;;10;18849;16;17948;;;;;137;2171531;;;;;1;2112;1;805;;;;;83;58997;;;;;;;12;7131;;;1;812;;;;;;;;;;;;;;;;;3138145
"19314";701;10;18954;152;15;12;;;1945;1213;69;;;179;44962;22;11910;431;2933798;;;15;82923;102;77820;;;;;189;15157975;;;;;12;18851;;;2;6951;;;142;225580;;;1;2031;4;40069;10;34874;;;3;25904;;;3;11118;5;847604;;;;;;;;;;;19522370
"19315";509;8;6697;176;13;22;;;4286;3573;120;;;206;31322;22;4124;167;1927295;;;14;55948;117;80643;;;3;241566;160;13697948;;;;;17;158875;11;93707;;;;;131;426970;;;2;1335;6;42181;10;18990;1;4819;2;4522;;;;;7;679441;;;;;;;;;;;17469686
"19316";300;15;16268;111;6;16;;;1654;1329;141;;;112;23609;8;6268;108;1367361;;;16;94434;84;66890;;;7;310401;89;7220648;;;;;17;41399;3;1659;;;;;81;232502;;;;;;;5;34215;1;6781;2;7672;;;;;1;15197;;;;;;;;;;;9429036
"19317";923;7;7692;181;9;16;;;2289;1786;40;;;233;38186;21;4510;366;1135275;;;45;77007;217;178804;;;;;385;14892108;;;;;15;93842;5;2880;;;;;194;268441;;;;;3;44940;7;15910;1;1738;3;7680;;;;;;;;;;;;;;;;;16761321
"19318";415;27;37635;146;2;19;;;2495;2089;287;;;179;55554;24;4460;66;505546;;;7;32531;174;135878;;;1;3826;93;5140276;;;;;11;56863;6;11479;8;23793;;;80;128583;1;409;5;10672;3;40484;23;76822;;;1;25718;4;7142;;;;;;;;;;;;;;;6260036
"19319";463;18;43874;125;2;13;;;2095;1623;363;;;146;69423;16;2517;143;555080;;;22;19892;137;133486;;;;;186;1916066;;;;;9;69633;;;6;29507;;;93;84077;2;119;2;7664;2;26809;14;94294;;;3;3689;;;;;;;;;;;;;;;;;3012256
"19320";554;13;23921;125;9;7;;;2336;2051;194;;;124;30474;9;4568;308;2566974;6;7054;21;39065;105;86412;;;4;57540;182;9978537;;;;;5;24362;4;9997;;;;;130;242069;;;;;3;33968;5;19407;9;38221;;;;;;;;;;;;;;;;;;;13138648
"19321";877;25;72528;311;42;7;;;4045;3357;326;;;348;60439;29;4705;257;2432932;;;24;65055;297;273943;;;28;1852020;244;45062903;6;352083;65;497699;17;272100;30;387496;4;3578;;;153;143322;9;3209;7;6740;;;37;48316;;;8;25088;2;3042;10;1014568;23;4528206;;;;;;;;;;;57037444
"19322";346;2;20145;26;1;2;;;596;407;12;;;40;8328;2;472;101;207151;;;7;9667;21;12400;;;;;228;4062706;;;;;14;37576;11;7630;;;;;76;64034;;;;;2;29269;1;466;3;19846;;;;;;;;;;;;;;;;;;;4459545
"19323";594;5;11339;67;6;6;;;832;426;220;;;91;17029;18;5848;306;982862;;;36;160099;71;52895;;;;;183;6163777;;;;;19;26034;1;432;;;;;91;102101;;;;;;;8;10253;;;;;;;;;;;;;;;;;;;;;7521330
"19324";504;3;5013;43;6;10;;;1032;619;42;;;94;17562;14;5249;302;1480078;;;30;140304;17;17182;;;;;146;8508921;;;;;16;79564;;;;;;;116;146095;;;;;4;41420;;;1;1422;;;;;5;3292;;;;;;;;;;;;;10441089
"19325";518;30;954599;106;4;14;;;2092;1138;635;;;156;29909;15;7218;305;2095888;;;22;66449;75;68745;;;;;137;4309040;;;;;9;48992;1;2434;;;;;87;85293;;;2;2097;;;;;;;5;12322;;;;;;;;;;;;;;;;;6728387
"19326";658;24;41407;217;5;6;;;2172;1978;178;;;246;43547;17;2303;243;1426908;;;19;24870;204;128994;;;;;210;6058303;;;;;6;75256;;;3;30342;1;1323;136;178118;3;5796;;;2;12152;34;49187;2;2118;1;1127;;;;;;;;;;;;;;;;;8040344
"19327";449;84;106517;209;;3;;;1519;940;560;;;168;34731;14;2680;106;317622;;;15;9408;207;168627;;;;;131;1225861;;;;;3;15936;;;4;15558;;;87;62476;;;;;2;3131;5;932;;;1;3445;;;;;;;;;;;;;;;;;1860407
"19328";520;2;4355;52;9;19;;;1590;1378;70;;;95;15980;7;1523;269;1737666;;;45;274950;36;16640;;;8;481916;223;15942286;;;;;18;86783;2;834;;;;;133;295235;;;;;;;4;5642;1;1588;;;;;;;;;;;;;;;;;;;18861043
"19329";1308;355;690899;757;1;53;;;8585;4896;3198;;;785;262674;32;6171;156;2704519;;;11;21567;728;789434;;;;;99;2161792;;;2;1521;18;118780;6;3488;3;77135;;;227;275465;16;46660;7;7627;5;42495;56;192976;1;3892;6;70858;1;14969;;;;;;;;;;;;;;;6802023
"19330";599;8;10373;53;17;10;;;1161;416;97;;;76;11435;13;5780;315;1042754;;;57;158346;33;32836;;;12;405527;304;30323954;;;;;3;57506;6;2693;;;;;179;232439;;;;;;;;;2;1002;;;;;2;606;;;;;;;;;;;;;32274878
"19331";942;140;161084;457;7;31;;;4600;3524;955;;;504;78072;30;4307;162;508229;;;5;7573;522;311374;;;;;70;4362104;;;;;12;55394;1;460;5;8246;;;97;137954;1;431;;;3;22176;1;615;1;3409;6;25148;1;3679;;;;;;;;;;;;;;;5529171
"19332";289;2;84169;63;5;14;;;1310;1203;40;;;69;15969;3;1491;137;2004512;;;2;705;32;27007;;;14;558438;167;12022426;;;;;12;41952;2;400;1;1050;;;105;240321;4;28394;3;3354;;;12;15052;;;;;;;;;;;;;;;;;1;13301;;;14961071
"19333";433;1;1042;41;10;5;;;1085;913;7;;;95;16149;16;6180;321;2127832;;;45;106598;15;5297;;;2;62267;188;14698624;;;;;13;12590;4;2826;;;;;168;140797;;;;;1;17323;;;11;33534;;;;;;;;;;;;;;;;;;;17230017
"19334";346;91;732388;83;2;11;;;2304;1108;1146;;;59;22204;1;120;178;3877608;;;14;81877;29;54860;;;;;202;6244931;;;7;20461;8;26217;2;4357;;;;;72;155342;;;;;;;22;38516;;;1;2803;;;;;;;;;;;;;;;;;10529296
"19335";615;;;38;20;1;;;2511;1252;21;;;123;17870;6;3185;351;1740362;;;21;52710;20;6353;;;22;1788797;233;23099491;;;;;5;46285;6;2185;;;;;144;309364;;;;;;;;;3;17548;;;;;5;121663;;;;;;;;;;;;;27205813
"19336";1026;34;26651;338;18;7;;;4128;2816;331;;;347;92162;33;15563;378;2868158;;;44;68937;359;227062;;;;;174;16822798;;;;;14;87233;4;1302;;;;;111;158798;;;1;1977;5;46491;15;68336;6;60153;8;11739;;;;;;;;;;;;;;;;;20530709
"19337";233;;;18;5;2;;;186;55;;;;30;4596;;;100;736424;;;18;72838;12;24687;;;;;171;10490651;;;;;5;29255;1;198;;;;;83;154667;;;;;;;1;809;;;;;;;;;;;;;;;;;;;;;11514125
"19338";142;6;7361;52;4;4;;;619;335;39;;;41;5834;5;2275;45;384528;;;24;192624;22;11920;;;2;58098;73;4801317;;;;;5;25011;4;2042;;;;;36;160074;;;;;;;;;1;1344;;;;;;;;;;;;;;;;;;;5645067
"19401";125;34;380503;36;3;7;;;282;91;178;;;13;11013;3;1203;80;741367;;;;;11;12404;;;;;46;266110;;;;;1;1028;;;;;;;18;18254;;;;;;;7;14815;;;;;;;;;;;;;;;;;;;;;1066194
"19402";313;176;2146115;125;5;21;;;1183;342;831;;;77;23216;19;6053;149;2074317;;;1;753;65;35758;;;;;17;37232;;;;;9;38229;;;;;;;54;93069;;;;;;;2;3292;;;;;;;;;;;;;;;;;;;;;2311919
"19403";534;24;16246;76;10;9;;;1229;806;304;;;93;23248;7;1396;386;2419306;;;3;1931;44;42328;;;;;148;1328900;;;;;12;41487;5;59917;7;18443;;;101;62177;4;23579;;;2;14773;31;30887;;;;;;;;;;;;;;;;;;;;;4068372
"19404";384;50;262153;98;1;10;;;706;280;376;;;77;17288;11;2794;243;1085078;;;;;59;28024;;;;;73;107324;;;;;5;45162;;;2;12989;;;27;34031;;;;;;;1;124;;;;;;;;;;;;;;;;;;;;;1332814
"19405";264;2;5982;34;1;1;;;187;143;15;;;25;7353;1;52;167;640556;;;;;14;10292;;;;;110;431637;;;9;1605;;;;;;;;;27;12187;;;;;;;14;8720;;;;;;;;;;;;;;;;;;;;;1112402
"19406";377;17;36758;83;1;2;;;775;656;102;;;60;12026;1;445;207;685315;1;2374;1;252;52;41504;;;;;144;751061;;;10;2268;11;24419;3;2462;;;;;45;27187;7;1302;;;;;2;1698;;;2;647;;;;;;;;;;;;;;;;;1552960
