"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"66163";"Rettenberg";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61030";"Sankt Andrä-Höch";171;1142;0;179;29616;621;1546466;152;368504;40;137280;0;0;172;1339027;1;1475;0;0;0;0;1;1475;0;0;0;0;0;0;0;0;0;0;0;0;24;84624;0;0;0;0;0;0;0;0;0;0;24;84624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3506992
"66164";"Retznei";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61029";"Retznei";54;157;20;55;86588;55;563020;44;164995;0;0;0;0;23;367368;7;129158;0;0;1;103547;4;19998;0;0;0;0;0;0;0;0;2;5613;0;0;31;253127;0;0;0;0;3;16100;0;0;0;0;20;25306;1;482;0;0;0;0;1;58;1;60688;3;13045;2;137448;1564256
"66165";"St. Andrä im Sausal";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61030";"Sankt Andrä-Höch";216;1041;0;115;42204;565;1609728;133;263892;0;0;0;0;188;1463308;12;62118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;62118;0;0;38;143561;0;0;0;0;2;55326;0;0;0;0;34;86005;0;0;0;0;0;0;0;0;0;0;1;90;1;2140;3584811
"66166";"St. Nikolai ob Draßling";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61034";"Sankt Nikolai ob Draßling";437;3610;26;257;174025;2156;6783080;322;670467;3;2552;0;0;783;3677589;8;70028;0;0;0;0;7;69485;1;543;0;0;0;0;0;0;0;0;0;0;98;305625;0;0;0;0;5;55809;0;0;0;0;83;213656;1;4427;0;0;0;0;3;18148;0;0;4;6878;2;6707;11683366
"66167";"St. Nikolai im Sausal";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61033";"Sankt Nikolai im Sausal";213;1311;0;101;47127;756;2079012;131;207364;5;5912;0;0;251;1552555;2;9039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9039;0;0;65;125742;0;0;0;0;6;16999;0;0;0;0;53;99984;0;0;0;0;0;0;1;3443;0;0;3;654;2;4662;4026751
"66168";"St. Veit am Vogau";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61036";"Sankt Veit am Vogau";427;2426;19;210;133233;1180;4500905;250;289790;0;0;0;0;738;4690791;7;144009;0;0;0;0;1;1507;1;968;0;0;1;94140;0;0;4;47394;0;0;63;321624;1;21414;0;0;4;50723;2;38597;0;0;45;117356;0;0;0;0;0;0;2;24357;0;0;0;0;9;69177;10080352
"66169";"Sausal-Kerschegg";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61030";"Sankt Andrä-Höch";89;671;0;90;18211;331;678432;109;182218;36;73592;0;0;128;464365;1;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;306;0;0;11;48163;0;0;0;0;1;4973;0;0;0;0;10;43190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1465287
"66170";"Schirka";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61020";"Lang";156;1587;0;109;49974;915;2858264;141;345481;6;5437;0;0;340;1572569;14;67612;0;0;2;22167;0;0;2;2120;0;0;0;0;0;0;7;10729;3;32596;81;166720;0;0;0;0;0;0;0;0;0;0;81;166720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5066057
"66171";"Schönegg";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61038";"Seggauberg";64;509;0;65;20977;255;970385;116;347131;11;21162;0;0;51;486463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;45112;0;0;0;0;0;0;0;0;0;0;17;45112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1891230
"66172";"Seggauberg";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61038";"Seggauberg";253;1160;0;127;61549;567;2143142;211;718342;32;128253;0;0;182;2200968;13;387267;0;0;8;197426;0;0;1;276;0;0;2;174484;0;0;2;15081;0;0;57;153184;0;0;0;0;5;28877;0;0;0;0;39;112406;0;0;0;0;0;0;1;1952;0;0;10;7077;2;2872;5792705
