"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"10106";"Eggenburg";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31105";"Eggenburg";1396;3107;621;1119;597488;877;7835616;680;535080;9;7639;0;0;90;1216486;29;71910;0;0;0;0;25;58028;1;2341;0;0;0;0;0;0;2;11501;1;40;350;931426;0;0;15;87745;9;40060;0;0;0;0;182;277605;60;111252;11;10684;6;16536;7;2888;2;175346;6;2184;52;207126;11195645;34;"";-38164;+389585;154855;483837;340;22;88;88;0;12055;8763;0;3251;0
"10107";"Engelsdorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31105";"Eggenburg";128;763;131;90;35116;329;2907099;85;93578;17;20118;0;0;193;680398;10;18908;0;0;0;0;10;18908;0;0;0;0;0;0;0;0;0;0;0;0;52;127428;0;0;0;0;10;57156;0;0;0;0;39;66743;0;0;0;0;0;0;1;183;0;0;0;0;2;3346;3882645;34;"";-39961;+391430;154727;483937;356;9;17;17;0;860;179;0;680;0
"10108";"Etzmannsdorf bei Straning";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31130";"Straning-Grafenberg";182;968;0;82;21909;469;2548908;86;30710;182;294317;0;0;91;350435;4;9372;0;0;0;0;4;9372;0;0;0;0;0;0;0;0;0;0;0;0;61;154774;0;0;0;0;6;32825;0;0;0;0;44;80530;0;0;0;0;0;0;2;6474;1;26667;2;68;6;8210;3410425;34;"";-35400;+386900;155111;483711;350;4;39;38;1;1830;1821;0;0;0
"10109";"Gauderndorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31105";"Eggenburg";119;497;95;94;44685;199;2039140;92;83863;40;86230;0;0;39;106440;3;12201;0;0;0;0;1;5550;0;0;0;0;0;0;0;0;0;0;2;6651;45;111167;0;0;3;15565;8;40567;0;0;0;0;13;26370;0;0;0;0;0;0;6;2114;0;0;11;3942;4;22609;2483726;34;"";-37445;+391423;154930;483937;316;5;10;10;0;710;260;0;449;0
"10110";"Geiersdorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31103";"Burgschleinitz - Kühnring";69;223;0;0;0;25;108407;0;0;0;0;0;0;179;1343355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;35677;0;0;0;0;1;9248;0;0;0;0;19;26429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1487439;34;"";-43200;+387500;154450;483729;400;0;0;0;0;47;47;0;0;0
"10111";"Grafenberg";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31130";"Straning-Grafenberg";449;2146;12;266;87254;1144;5863730;184;138625;332;680101;0;0;63;775461;10;29989;0;0;0;0;3;18468;5;8027;0;0;0;0;1;1444;1;2050;0;0;161;404219;0;0;2;15532;12;75795;0;0;0;0;133;191025;0;0;0;0;0;0;9;13638;2;106842;2;339;1;1048;7979379;34;"";-35437;+388298;155109;483756;306;12;49;19;30;6786;6655;0;130;0
"10113";"Harmannsdorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31103";"Burgschleinitz - Kühnring";77;251;4;53;63477;124;2103596;19;46773;0;0;0;0;28;859623;3;9755;0;0;0;0;1;2613;2;7142;0;0;0;0;0;0;0;0;0;0;41;149229;0;0;2;61710;4;19615;0;0;0;0;26;47528;1;7862;0;0;1;659;2;7320;0;0;2;839;3;3696;3232453;34;"";-43600;+385000;154432;483608;420;5;27;27;0;1196;1125;0;70;0
"10114";"Kleinjetzelsdorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31120";"Röschitz";188;663;57;86;37547;305;2355706;97;80090;135;261552;0;0;3;2824;10;19655;0;0;0;0;2;8001;8;11654;0;0;0;0;0;0;0;0;0;0;41;85518;0;0;5;27263;6;7345;0;0;0;0;27;43846;0;0;0;0;0;0;2;584;0;0;0;0;1;6480;2842892;34;"";-36723;+392811;155005;484022;313;6;19;19;0;1531;1429;0;101;0
"10115";"Kainreith";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31124";"Sigmundsherberg";198;981;277;88;66203;351;3905042;57;50661;0;0;0;0;360;2365031;8;19278;0;0;0;0;8;19278;0;0;0;0;0;0;0;0;0;0;0;0;117;363177;0;0;0;0;10;50012;0;0;0;0;72;147273;3;7614;0;0;0;0;11;7299;3;78415;2;387;16;72177;6769392;34;"";-44789;+397360;154329;484247;440;13;55;55;0;2429;917;0;1496;0
"10116";"Kattau";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31114";"Meiseldorf";331;1891;287;186;84015;633;7834435;216;336023;17;24891;0;0;717;4737758;13;49216;0;0;0;0;7;33974;0;0;0;0;0;0;0;0;0;0;6;15242;123;390240;0;0;2;29960;12;78129;0;0;0;0;62;189092;0;0;0;0;0;0;28;10697;1;41978;10;15386;8;24998;13456578;34;"";-38659;+393506;154830;484044;340;10;84;84;0;4847;2987;0;1832;0
"10117";"Kühnring";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31103";"Burgschleinitz - Kühnring";312;1457;265;210;64239;547;5491319;173;137384;0;0;0;0;395;2143872;11;24197;0;0;0;0;10;23886;0;0;0;0;0;0;0;0;1;311;0;0;127;335574;0;0;4;48974;2;13350;1;1800;0;0;102;186537;2;443;0;0;0;0;9;2829;1;61473;1;110;5;20058;8196585;34;"";-40428;+388523;154705;483802;378;9;43;43;0;4510;3037;0;1460;0
